,name,urls
421,"06-05-2015 :: B.Tech. I Semester Regular &amp; 
		Supplementary (R-2013) Revaluation Results - January 2015", http://gvpce.ac.in/results/B.techISemester(Reg&Sup)_(R-2013)_RevaluatioResult_January%202015/btechsearch.asp
422,"06-05-2015 :: B.Tech. I Semester Supplementary (R-2012) Revaluation 
		Results - January 2015", http://gvpce.ac.in/results/B.techISemester(Sup)_(R-2012)_RevaluatioResult_January2015/btechsearch.asp
423,, http://gvpce.ac.in/results/B.techISemester(Sup)_(R-2012)_RevaluatioResult_January2015/btechsearch.asp
424,"06-05-2015 :: B.Tech. I Semester Supplementary 
		(R-2009) Revaluation Results - January 2015", http://gvpce.ac.in/results/B.techISemester(Sup)_(R-2009)_RevaluatioResult_January%202015/btechsearch.asp
425,, http://gvpce.ac.in/results/B.techISemester(Sup)_(R-2009)_RevaluatioResult_January%202015/btechsearch.asp
426,"21/04/2015 :: MCA I Semester Supplementary(R-2013) 
		Results for 2013 Batch - March 2015", http://gvpce.ac.in/results/MCAISemSupply(R-2013)2013%20Batch-March2015/btechsearch.asp
427,"21/04/2015 :: MCA I Semester Regular(R-2013) 
		Results for 2014 Batch - March 2015", http://gvpce.ac.in/results/MCAISemReg(R-2013)2014%20Batch-March2015/btechsearch.asp
428,"07/04/2015 :: B.Tech V Semester Regular &amp; 
		Supplementary Lateral Entry Environmental Studies (R-2009 &amp; 2012) 
		Results - January 2015", http://gvpce.ac.in/results/B.Tech%20V(R&S)_Lateral_Environmental%20Studies(R2009&2012)-Jan2015/btechsearch.asp
429,"14/03/2015 :: B.Tech VI Semester 
		Supplementary(R-2009) Revaluation Results - November 2014", http://gvpce.ac.in/results/B.TechVISemSupply(R2009)RevNov2014/btechsearch.asp
430,"14/03/2015 :: B.Tech V Semester 
		Supplementary(R-2009) Revaluation Results - November 2014", http://gvpce.ac.in/results/B.TechVSemSupply(R2009)RevNov2014/btechsearch.asp
431,"14/03/2015 :: B.Tech V Semester Regular(R-2012) 
		Revaluation Results - November 2014", http://gvpce.ac.in/results/B.TechVSemReg(R2012)RevNov2014/btechsearch.asp
432,"14/03/2015 :: B.Tech IV Semester 
		Supplementary(R-2012) Revaluation Results - November 2014", http://gvpce.ac.in/results/B.TechIVSemSupply(R2012)RevNov2014/btechsearch.asp
433,"14/03/2015 :: B.Tech IV Semester 
		Supplementary(R-2009) Revaluation Results - November 2014", http://gvpce.ac.in/results/B.TechIVSemSupply(R2009)RevNov2014/btechsearch.asp
434,"14/03/2015 :: B.Tech III Semester 
		Supplementary(R-2012) Revaluation Results - December 2014", http://gvpce.ac.in/results/B.TechIIISemSupply(R2012)RevDec2014/btechsearch.asp
435,"14/03/2015 :: B.Tech III Semester 
		Supplementary(R-2009) Revaluation Results - December 2014", http://gvpce.ac.in/results/B.TechIIISemSupply(R2009)RevDec2014/btechsearch.asp
436,"14/03/2015 :: B.Tech III Semester Regular(R-2013) 
		Revaluation Results - December 2014", http://gvpce.ac.in/results/B.TechIIISemReg(R2013)RevDec2014/btechsearch.asp
437,"14/03/2015 :: B.Tech II Semester 
		Supplementary(R-2013) Revaluation Results - December 2014", http://gvpce.ac.in/results/B.TechIISemSupply(R2013)RevDec2014/btechsearch.asp
438,"14/03/2015 :: B.Tech II Semester 
		Supplementary(R-2012) Revaluation Results - December 2014", http://gvpce.ac.in/results/B.TechIISemSupply(R2012)RevDec2014/btechsearch.asp
439,"14/03/2015 :: B.Tech II Semester 
		Supplementary(R-2009) Revaluation Results - December 2014", http://gvpce.ac.in/results/B.TechIISemSupply(R2009)RevDec2014/btechsearch.asp
440,"13/03/2015 :: B.Tech VII Semester R&amp;S(R-2009) 
		Revaluation Results - November 2014", http://gvpce.ac.in/results/B.TechVIISem(R&S)(R-2009)RevNov2014/btechsearch.asp
441,"11/03/2015 :: B.Tech I Semester Supplementary 
		(R-2013) Results - January 2015", http://gvpce.ac.in/results/B.Tech%20I%20Sem%20Supply(R2013)Jan2015/btechsearch.asp
442,"11/03/2015 :: B.Tech I Semester Supplementary 
		(R-2012) Results - January 2015", http://gvpce.ac.in/results/B.Tech%20I%20Sem%20Supply(R2012)Jan2015/btechsearch.asp
443,"11/03/2015 :: B.Tech I Semester Supplementary 
		(R-2009) Results - January 2015", http://gvpce.ac.in/results/B.Tech%20I%20Sem%20Supply(R2009)Jan2015/btechsearch.asp
444,"11/03/2015 :: M.Tech I Semester Supplementary 
		Revaluation Results - September 2014", http://gvpce.ac.in/results/MTechISemSupplyRev-Sept2014/mtechsearch.asp
